Aeropuerto; Lugar
Médico; Individuo
Enfermero; Individuo
Bombero; Individuo
Policía; Individuo
Ladrón; Individuo
Juez; Individuo
Abogado; Individuo
Profesor; Individuo
Alumno; Individuo
Científico; Individuo
Astronauta; Individuo
Piloto; Individuo
Azafata; Individuo
Cocinero; Individuo
Camarero; Individuo
Panadero; Individuo
Carnicero; Individuo
Pescador; Individuo
Agricultor; Individuo
Militar; Individuo
Espía; Individuo
Detective; Individuo
Mimo; Individuo
Payaso; Individuo
Mago; Individuo
Actor; Individuo
Cantante; Individuo
Pintor; Individuo
Escritor; Individuo
Periodista; Individuo
Fotógrafo; Individuo
Youtuber; Individuo
Influencer; Individuo
Hacker; Individuo
Programador; Individuo
Robot; Individuo
Alienígena; Individuo
Zombi; Individuo
Vampiro; Individuo
Fantasma; Individuo
Superhéroe; Individuo
Villano; Individuo
Rey; Individuo
Reina; Individuo
Princesa; Individuo
Caballero; Individuo
Ninja; Individuo
Samurái; Individuo
Vikingo; Individuo
Pirata; Individuo
Perro; Animal
Gato; Animal
León; Animal
Tigre; Animal
Elefante; Animal
Jirafa; Animal
Mono; Animal
Gorila; Animal
Oso; Animal
Panda; Animal
Lobo; Animal
Zorro; Animal
Conejo; Animal
Ratón; Animal
Caballo; Animal
Vaca; Animal
Cerdo; Animal
Oveja; Animal
Cabra; Animal
Gallina; Animal
Pato; Animal
Águila; Animal
Búho; Animal
Pingüino; Animal
Loro; Animal
Serpiente; Animal
Cocodrilo; Animal
Tortuga; Animal
Rana; Animal
Tiburón; Animal
Delfín; Animal
Ballena; Animal
Pulpo; Animal
Cangrejo; Animal
Araña; Animal
Abeja; Animal
Hormiga; Animal
Mariposa; Animal
Dragón; Animal
Dinosaurio; Animal
Canguro; Animal
Koala; Animal
Murciélago; Animal
Camaleón; Animal
Teléfono; Objeto
Ordenador; Objeto
Tablet; Objeto
Televisión; Objeto
Cámara; Objeto
Reloj; Objeto
Gafas; Objeto
Llaves; Objeto
Cartera; Objeto
Moneda; Objeto
Billete; Objeto
Tarjeta de Crédito; Objeto
Pasaporte; Objeto
Mapa; Objeto
Brújula; Objeto
Mochila; Objeto
Maleta; Objeto
Paraguas; Objeto
Sombrero; Objeto
Zapatos; Objeto
Calcetines; Objeto
Ropa Interior; Objeto
Vestido; Objeto
Traje; Objeto
Corbata; Objeto
Anillo; Objeto
Collar; Objeto
Pendientes; Objeto
Maquillaje; Objeto
Perfume; Objeto
Cepillo de Dientes; Objeto
Papel Higiénico; Objeto
Toalla; Objeto
Jabón; Objeto
Champú; Objeto
Cuchillo; Objeto
Tenedor; Objeto
Cuchara; Objeto
Plato; Objeto
Vaso; Objeto
Botella; Objeto
Sartén; Objeto
Olla; Objeto
Microondas; Objeto
Nevera; Objeto
Lavadora; Objeto
Coche; Objeto
Bicicleta; Objeto
Moto; Objeto
Barco; Objeto
Google; Organización
Apple; Organización
Microsoft; Organización
Amazon; Organización
Facebook; Organización
Coca-Cola; Organización
McDonald's; Organización
Burger King; Organización
Nike; Organización
Adidas; Organización
Disney; Organización
Netflix; Organización
NASA; Organización
CIA; Organización
FBI; Organización
ONU; Organización
Cruz Roja; Organización
Greenpeace; Organización
IKEA; Organización
Lego; Organización
Marvel; Organización
DC Comics; Organización
FIFA; Organización
Juegos Olímpicos; Organización
Real Madrid; Organización
FC Barcelona; Organización
Hogwarts; Organización
La Mafia; Organización
El Vaticano; Organización
Los Vengadores; Organización
Boda; Otro
Funeral; Otro
Cumpleaños; Otro
Navidad; Otro
Halloween; Otro
San Valentín; Otro
Carnaval; Otro
Año Nuevo; Otro
Vacaciones; Otro
Examen; Otro
Entrevista; Otro
Divorcio; Otro
Juicio; Otro
Guerra; Otro
Paz; Otro
Amor; Otro
Odio; Otro
Hambre; Otro
Sed; Otro
Sueño; Otro
Pesadilla; Otro
Muerte; Otro
Vida; Otro
Internet; Otro
Redes Sociales; Otro
Apocalipsis; Otro
Terremoto; Otro
Tsunami; Otro
